date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:26:34	188989/188989	---M--	200	added ('OK')	image/jpeg	etag:%222e23d-56380985c70c0%22	http://ninzio.com/craft/wp-content/uploads/2018/01/bg-slider-1.jpg	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/wp-content/uploads/2018/01/bg-slider-1.jpg	(from http://ninzio.com/craft/)
09:26:35	112778/112778	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Mar%202018%2002:27:20%20GMT	http://ninzio.com/craft/home-4/	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/home-4/index.html	(from http://ninzio.com/craft/)
09:26:35	72554/72554	---M--	200	added ('OK')	image/jpeg	etag:%2211b6a-56374623cb880%22	http://ninzio.com/craft/wp-content/uploads/2017/11/portfolio1-600x450.jpg	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/wp-content/uploads/2017/11/portfolio1-600x450.jpg	(from http://ninzio.com/craft/)
09:26:37	108406/108406	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Mar%202018%2002:27:22%20GMT	http://ninzio.com/craft/home-5/	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/home-5/index.html	(from http://ninzio.com/craft/)
09:26:37	94809/94809	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Mar%202018%2002:27:22%20GMT	http://ninzio.com/craft/home-6/	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/home-6/index.html	(from http://ninzio.com/craft/)
09:26:39	108514/108514	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Mar%202018%2002:27:24%20GMT	http://ninzio.com/craft/header-1/	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/header-1/index.html	(from http://ninzio.com/craft/)
09:26:39	329528/329528	---MC-	200	added ('OK')	application/json	date:Sun,%2011%20Mar%202018%2002:26:44%20GMT	http://ninzio.com/craft/wp-json/	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/wp-json/index.html	(from http://ninzio.com/craft/)
09:26:40	21500/21500	---M--	200	added ('OK')	image/jpeg	etag:%2253fc-56374623df100%22	http://ninzio.com/craft/wp-content/uploads/2017/11/portfolio2-600x450.jpg	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/wp-content/uploads/2017/11/portfolio2-600x450.jpg	(from http://ninzio.com/craft/)
09:26:41	108514/108514	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Mar%202018%2002:27:26%20GMT	http://ninzio.com/craft/header-2/	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/header-2/index.html	(from http://ninzio.com/craft/)
09:26:42	108514/108514	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Mar%202018%2002:27:27%20GMT	http://ninzio.com/craft/header-3/	F:/xampp/htdocs/samuraiwifi/html/template1/SamuraiWifi1/ninzio.com/craft/header-3/index.html	(from http://ninzio.com/craft/)
